(-160; 243)
(-19; 134)
(-57; 130)
(-72; 123)
(-160; 243)
(-101; 101)
(-72; 123)
(-101; 101)
(-129; 75)
(-160; 243)
(-129; 75)
(-150; 46)
(-168; -29)
(-168; -57)
(-168; -67)
(-216; -110)
(-227; -141)
(-201; -181)
(-170; -203)
(-121; -208)
(-61; -209)
(-14; -207)
(19; -208)
(108; -137)
(133; -109)
(177; -65)
(205; -35)
(188; 25)
(206; 104)
(208; 220)
(162; 209)
(95; 154)
(62; 120)
(13; 133)
(-19; 134)
(13; 133)
(-82; 10)
(-101; 101)
(-129; 75)
(-129; -14)
(-150; 46)
(-168; -29)
(-129; -14)
(-82; 10)
(-116; -38)
(-129; -14)
(-150; -40)
(-168; -57)
(-168; -67)
(-116; -38)
(-150; -40)
(-129; -14)
(-82; 10)
(-22; -12)
(54; 85)
(13; 133)
(62; 120)
(54; 85)
(84; 51)
(106; 134)
(95; 154)
(162; 209)
(106; 134)
(84; 51)
(97; 32)
(208; 220)
(206; 104)
(97; 32)
(188; 25)
(111; -54)
(188; -38)
(205; -35)
(177; -65)
(182; -50)
(188; -38)
(182; -50)
(129; -83)
(133; -109)
(129; -83)
(111; -54)
(53; -27)
(97; 32)
(0; -16)
(53; -27)
(0; -16)
(-22; -12)
(-42; -40)
(0; -16)
(-42; -40)
(-50; -50)
(-82; 10)
(-50; -50)
(4; -40)
(21; -32)
(53; -27)
(-5; -151)
(-14; -207)
(-5; -151)
(21; -32)
(4; -40)
(-5; -151)
(21; -32)
(53; -27)
(-5; -151)
(111; -54)
(129; -83)
(-5; -151)
(108; -137)
(-5; -151)
(-99; -188)
(-112; -188)
(-87; -156)
(-5; -151)
(-50; -50)
(-99; -113)
(-87; -156)
(-112; -188)
(-121; -208)
(-112; -188)
(-184; -169)
(-201; -181)
(-184; -169)
(-187; -157)
(-206; -111)
(-216; -110)
(-206; -111)
(-157; -116)
(-187; -157)
(-157; -116)
(-99; -113)
(-50; -50)
